telescope_id,lactsim_index,name,corsika_north_cm,corsika_west_cm,corsika_up_cm,radius_cm,east_m,north_m,up_m,radius_m,source_input_line
1,0,Tel.1,41746.03200,43492.06300,0.00000,400.00000,-434.92063,417.46032,0.00000,4.00000,1
2,1,Tel.2,41904.76200,27936.50800,0.00000,400.00000,-279.36508,419.04762,0.00000,4.00000,2
3,2,Tel.3,24285.71400,43174.60300,0.00000,400.00000,-431.74603,242.85714,0.00000,4.00000,3
4,3,Tel.4,29365.07900,32539.68300,0.00000,400.00000,-325.39683,293.65079,0.00000,4.00000,4
5,4,Tel.5,36666.66700,-1111.11100,0.00000,400.00000,11.11111,366.66667,0.00000,4.00000,5
6,5,Tel.6,29047.61900,-20476.19000,0.00000,400.00000,204.76190,290.47619,0.00000,4.00000,6
7,6,Tel.7,19682.54000,4285.71400,0.00000,400.00000,-42.85714,196.82540,0.00000,4.00000,7
8,7,Tel.8,17936.50800,-12222.22200,0.00000,400.00000,122.22222,179.36508,0.00000,4.00000,8
9,8,Tel.9,25555.55600,-42222.22200,0.00000,400.00000,422.22222,255.55556,0.00000,4.00000,9
10,9,Tel.10,28888.88900,-54920.63500,0.00000,400.00000,549.20635,288.88889,0.00000,4.00000,10
11,10,Tel.11,13333.33300,-37936.50800,0.00000,400.00000,379.36508,133.33333,0.00000,4.00000,11
12,11,Tel.12,15238.09500,-56190.47600,0.00000,400.00000,561.90476,152.38095,0.00000,4.00000,12
13,12,Tel.13,6349.20600,-16507.93700,0.00000,400.00000,165.07937,63.49206,0.00000,4.00000,13
14,13,Tel.14,317.46000,-34444.44400,0.00000,400.00000,344.44444,3.17460,0.00000,4.00000,14
15,14,Tel.15,-17142.85700,-18730.15900,0.00000,400.00000,187.30159,-171.42857,0.00000,4.00000,15
16,15,Tel.16,-14285.71400,-34285.71400,0.00000,400.00000,342.85714,-142.85714,0.00000,4.00000,16
17,16,Tel.17,-41428.57100,-18888.88900,0.00000,400.00000,188.88889,-414.28571,0.00000,4.00000,17
18,17,Tel.18,-32063.49200,-34444.44400,0.00000,400.00000,344.44444,-320.63492,0.00000,4.00000,18
19,18,Tel.19,-43968.25400,-38095.23800,0.00000,400.00000,380.95238,-439.68254,0.00000,4.00000,19
20,19,Tel.20,-51746.03200,-28253.96800,0.00000,400.00000,282.53968,-517.46032,0.00000,4.00000,20
21,20,Tel.21,-12857.14300,17460.31700,0.00000,400.00000,-174.60317,-128.57143,0.00000,4.00000,21
22,21,Tel.22,-14603.17500,-3492.06300,0.00000,400.00000,34.92063,-146.03175,0.00000,4.00000,22
23,22,Tel.23,-26507.93700,12222.22200,0.00000,400.00000,-122.22222,-265.07937,0.00000,4.00000,23
24,23,Tel.24,-27936.50800,-476.19000,0.00000,400.00000,4.76190,-279.36508,0.00000,4.00000,24
25,24,Tel.25,-42698.41300,27619.04800,0.00000,400.00000,-276.19048,-426.98413,0.00000,4.00000,25
26,25,Tel.26,-47777.77800,16031.74600,0.00000,400.00000,-160.31746,-477.77778,0.00000,4.00000,26
27,26,Tel.27,-50000.00000,33174.60300,0.00000,400.00000,-331.74603,-500.00000,0.00000,4.00000,27
28,27,Tel.28,-59206.34900,21904.76200,0.00000,400.00000,-219.04762,-592.06349,0.00000,4.00000,28
29,28,Tel.29,-3492.06300,58730.15900,0.00000,400.00000,-587.30159,-34.92063,0.00000,4.00000,29
30,29,Tel.30,2063.49200,50952.38100,0.00000,400.00000,-509.52381,20.63492,0.00000,4.00000,30
31,30,Tel.31,-8730.15900,43174.60300,0.00000,400.00000,-431.74603,-87.30159,0.00000,4.00000,31
32,31,Tel.32,-16031.74600,56031.74600,0.00000,400.00000,-560.31746,-160.31746,0.00000,4.00000,32
33,32,Tel.33,7777.77800,22698.41300,0.00000,400.00000,-226.98413,77.77778,0.00000,4.00000,33
34,33,Tel.34,25873.01600,20317.46000,0.00000,400.00000,-203.17460,258.73016,0.00000,4.00000,34
35,34,Tel.35,43174.60300,9523.81000,0.00000,400.00000,-95.23810,431.74603,0.00000,4.00000,35
36,35,Tel.36,13650.79400,-26666.66700,0.00000,400.00000,266.66667,136.50794,0.00000,4.00000,36
