telescope_id,lactsim_index,name,corsika_north_cm,corsika_west_cm,corsika_up_cm,radius_cm,east_m,north_m,up_m,source_log_line
1,0,TEL.1,40379.70,43923.30,0.00,400.00,-439.2330,403.7970,0.0000,248
2,1,TEL.2,26980.10,43800.00,0.00,400.00,-438.0000,269.8010,0.0000,249
3,2,TEL.3,28377.80,30926.20,0.00,400.00,-309.2620,283.7780,0.0000,250
4,3,TEL.4,42145.70,31131.60,0.00,400.00,-311.3160,421.4570,0.0000,251
5,4,TEL.5,36903.70,-1014.61,0.00,400.00,10.1461,369.0370,0.0000,252
6,5,TEL.6,20112.80,5086.48,0.00,400.00,-50.8648,201.1280,0.0000,253
7,6,TEL.7,29459.50,-20087.90,0.00,400.00,200.8790,294.5950,0.0000,254
8,7,TEL.8,19059.30,-12119.60,0.00,400.00,121.1960,190.5930,0.0000,255
9,8,TEL.9,26820.60,-41050.50,0.00,400.00,410.5050,268.2060,0.0000,256
10,9,TEL.10,13135.60,-37831.90,0.00,400.00,378.3190,131.3560,0.0000,257
11,10,TEL.11,15170.60,-56481.50,0.00,400.00,564.8150,151.7060,0.0000,258
12,11,TEL.12,28907.20,-54948.40,0.00,400.00,549.4840,289.0720,0.0000,259
13,12,TEL.13,-4632.96,59598.50,0.00,400.00,-595.9850,-46.3296,0.0000,260
14,13,TEL.14,-16771.20,57119.00,0.00,400.00,-571.1900,-167.7120,0.0000,261
15,14,TEL.15,-9140.01,44010.40,0.00,400.00,-440.1040,-91.4001,0.0000,262
16,15,TEL.16,1752.95,49320.20,0.00,400.00,-493.2020,17.5295,0.0000,263
17,16,TEL.17,-14025.40,14166.50,0.00,400.00,-141.6650,-140.2540,0.0000,264
18,17,TEL.18,-26747.50,12412.00,0.00,400.00,-124.1200,-267.4750,0.0000,265
19,18,TEL.19,-27679.90,236.30,0.00,400.00,-2.3630,-276.7990,0.0000,266
20,19,TEL.20,-14464.50,-2873.45,0.00,400.00,28.7345,-144.6450,0.0000,267
21,20,TEL.21,4244.20,-17796.70,0.00,400.00,177.9670,42.4420,0.0000,268
22,21,TEL.22,-14698.50,-18849.10,0.00,400.00,188.4910,-146.9850,0.0000,269
23,22,TEL.23,-14476.60,-34365.90,0.00,400.00,343.6590,-144.7660,0.0000,270
24,23,TEL.24,722.73,-34161.40,0.00,400.00,341.6140,7.2273,0.0000,271
25,24,TEL.25,-42987.70,27903.00,0.00,400.00,-279.0300,-429.8770,0.0000,272
26,25,TEL.26,-52961.50,35396.70,0.00,400.00,-353.9670,-529.6150,0.0000,273
27,26,TEL.27,-60630.10,25312.60,0.00,400.00,-253.1260,-606.3010,0.0000,274
28,27,TEL.28,-49292.30,16577.70,0.00,400.00,-165.7770,-492.9230,0.0000,275
29,28,TEL.29,-42780.80,-18605.00,0.00,400.00,186.0500,-427.8080,0.0000,276
30,29,TEL.30,-52337.30,-27621.20,0.00,400.00,276.2120,-523.3730,0.0000,277
31,30,TEL.31,-44037.30,-40583.40,0.00,400.00,405.8340,-440.3730,0.0000,278
32,31,TEL.32,-33179.00,-34478.20,0.00,400.00,344.7820,-331.7900,0.0000,279
