wavelength_nm,efficiency
201,0.00885556869
202,0.00318184416
203,0.00228306051
204,0.00150515136
205,0.00086298491
206,0.00045476126
207,0.00030887037
208,0.00036973326
209,0.00028995747
210,0.00026294974
211,0.0002269692
212,0.00018529455
213,0.00016262943
214,0.00017278179
215,0.00011994163
216,8.46708e-05
217,7.63917e-05
218,9.453194e-05
219,8.608734e-05
220,6.302805e-05
221,4.834397e-05
222,4.013742e-05
223,4.951244e-05
224,3.831995e-05
225,3.573568e-05
226,6.021346e-05
227,4.713012e-05
228,3.843682e-05
229,2.786502e-05
230,3.686124e-05
231,4.23957e-05
232,2.362447e-05
233,2.912471e-05
234,2.980205e-05
235,2.430488e-05
236,2.70318e-05
237,3.136483e-05
238,4.058092e-05
239,4.730402e-05
240,5.347708e-05
241,0.00050792186
242,0.00060453277
243,0.0003441896
244,0.00256335046
245,0.00907968615
246,0.01483812015
247,0.01008380593
248,0.00173676135
249,9.378587e-05
250,8.094499e-05
251,5.39169e-05
252,3.016726e-05
253,1.546027e-05
254,2.108013e-05
255,2.076339e-05
256,1.704567e-05
257,1.344026e-05
258,8.82243e-06
259,1.409877e-05
260,1.924819e-05
261,1.796687e-05
262,1.254667e-05
263,1.553388e-05
264,1.746349e-05
265,1.734447e-05
266,1.421222e-05
267,1.720444e-05
268,0.00071793463
269,0.01405999821
270,0.07702037058
271,0.2286320001
272,0.4435613071
273,0.6274723791
274,0.7233686887
275,0.7577046872
276,0.7729823854
277,0.7815288776
278,0.7848327736
279,0.789285075
280,0.7994781013
281,0.8100006147
282,0.8143529349
283,0.8151028952
284,0.8178571604
285,0.8224652176
286,0.8252614468
287,0.8242427841
288,0.8194088771
289,0.8140266172
290,0.8143325308
291,0.8236778652
292,0.8370049519
293,0.8452965354
294,0.8458587257
295,0.8442492056
296,0.8451536041
297,0.8467773988
298,0.8458324386
299,0.8436112912
300,0.8440596689
301,0.8468974307
302,0.8469269538
303,0.8414354159
304,0.8350947902
305,0.8349252156
306,0.8415052243
307,0.8472654075
308,0.8442848331
309,0.8324670949
310,0.8197867722
311,0.8156146445
312,0.8234829445
313,0.839047995
314,0.8526085552
315,0.8545172509
316,0.8414251767
317,0.8188375568
318,0.7982274118
319,0.7905950981
320,0.7995836818
321,0.8191067671
322,0.8360004306
323,0.8381879091
324,0.8237925776
325,0.8026054193
326,0.7871236913
327,0.7834098344
328,0.7894143204
329,0.7986347743
330,0.8061089091
331,0.8127037468
332,0.8231281893
333,0.8403805274
334,0.8614989816
335,0.8783299649
336,0.883606069
337,0.8767413681
338,0.8641286964
339,0.8541218335
340,0.8519482622
341,0.8569424773
342,0.8644076901
343,0.8699365284
344,0.8724010548
345,0.8741754324
346,0.8782524135
347,0.884764993
348,0.8905739574
349,0.8913181143
350,0.8846145591
351,0.8719284939
352,0.8577959965
353,0.8476391825
354,0.8440926938
355,0.8463861148
356,0.8513388695
357,0.8553902759
358,0.8566119926
359,0.8556982626
360,0.8550435272
361,0.8572803332
362,0.8634774593
363,0.8728549484
364,0.8831800046
365,0.8920025125
366,0.8976299735
367,0.8999625279
368,0.8998590191
369,0.8984099678
370,0.8965841942
371,0.8947075858
372,0.892808122
373,0.8909396515
374,0.8890601998
375,0.8879134254
376,0.8873148382
377,0.8858201033
378,0.8825560062
379,0.8771310703
380,0.8696545375
381,0.8614299843
382,0.8544244583
383,0.8507525002
384,0.8520563433
385,0.8585948875
386,0.8695188942
387,0.8828003492
388,0.8958442705
389,0.9062001815
390,0.9122356788
391,0.9136753613
392,0.9114495656
393,0.9072771451
394,0.9030141049
395,0.9001992583
396,0.8995599715
397,0.9007201251
398,0.9028988642
399,0.9052074205
400,0.9068632846
401,0.9075740824
402,0.9075578252
403,0.9072843188
404,0.9074163872
405,0.908288975
406,0.9099565327
407,0.911940489
408,0.9134725786
409,0.9138974753
410,0.912571756
411,0.9092613266
412,0.9043497362
413,0.8987508088
414,0.8937553421
415,0.8906066421
416,0.890235537
417,0.8929180608
418,0.8983409372
419,0.905564642
420,0.9132686428
421,0.9198087291
422,0.9238745704
423,0.9245977428
424,0.9219531567
425,0.9165966795
426,0.9098270452
427,0.9030625761
428,0.8976083693
429,0.8943681735
430,0.8936733434
431,0.8953202058
432,0.8986450883
433,0.9026967019
434,0.9065036085
435,0.9092495035
436,0.9105847725
437,0.9104767359
438,0.9092409987
439,0.9073515614
440,0.9052661114
441,0.9032780055
442,0.9015335654
443,0.8999589733
444,0.8983631014
445,0.8966191554
446,0.894666099
447,0.8926583228
448,0.8908664923
449,0.8895816728
450,0.8892526313
451,0.8903272924
452,0.8929441473
453,0.8970191899
454,0.9021563357
455,0.9077360258
456,0.913058032
457,0.9173282909
458,0.9199738277
459,0.92068849
460,0.9194434881
461,0.9165282193
462,0.9124105487
463,0.9076966722
464,0.9030041506
465,0.8987516038
466,0.8951335268
467,0.8922469036
468,0.889966444
469,0.8881573099
470,0.88668155
471,0.8854293007
472,0.8844131461
473,0.8837490263
474,0.8837544506
475,0.8846962349
476,0.8868047133
477,0.8902249542
478,0.8949164573
479,0.9006727359
480,0.9070736927
481,0.9137114303
482,0.9200787012
483,0.925518424
484,0.9295998244
485,0.9320603561
486,0.9329554243
487,0.9325515752
488,0.931310124
489,0.9297099234
490,0.9282689108
491,0.9273076377
492,0.9270442104
493,0.9274956964
494,0.9285773691
495,0.9300642139
496,0.9315607892
497,0.9326961078
498,0.9332066354
499,0.9329342222
500,0.9318678513
501,0.9301605909
502,0.9280775812
503,0.9258966001
