wavelength_nm,efficiency
250,0.8162
251,0.8177
252,0.8192
253,0.8208
254,0.8225
255,0.8242
256,0.8259
257,0.8277
258,0.8295
259,0.8314
260,0.8333
261,0.8354
262,0.8387
263,0.8405
264,0.8422
265,0.8444
266,0.8465
267,0.8478
268,0.8496
269,0.8527
270,0.8546
271,0.8579
272,0.8609
273,0.8638
274,0.8662
275,0.8669
276,0.8686
277,0.8695
278,0.8703
279,0.8712
280,0.8711
281,0.8715
282,0.872
283,0.8716
284,0.8714
285,0.8724
286,0.8736
287,0.8752
288,0.877
289,0.8791
290,0.8807
291,0.8825
292,0.8831
293,0.8849
294,0.8867
295,0.8872
296,0.8884
297,0.8888
298,0.8889
299,0.8892
300,0.8906
301,0.8902
302,0.8908
303,0.8901
304,0.89
305,0.8901
306,0.8909
307,0.892
308,0.8926
309,0.8916
310,0.8918
311,0.8928
312,0.8941
313,0.8949
314,0.8958
315,0.8967
316,0.898
317,0.8974
318,0.8973
319,0.8985
320,0.8993
321,0.8978
322,0.8981
323,0.8975
324,0.8981
325,0.8988
326,0.9007
327,0.9017
328,0.9008
329,0.9015
330,0.9026
331,0.9033
332,0.9026
333,0.9039
334,0.9048
335,0.9052
336,0.9043
337,0.9035
338,0.9042
339,0.9026
340,0.9014
341,0.9003
342,0.8994
343,0.8984
344,0.8976
345,0.8974
346,0.8989
347,0.8986
348,0.8968
349,0.8977
350,0.8968
351,0.896
352,0.8965
353,0.8983
354,0.897
355,0.8968
356,0.8965
357,0.8969
358,0.8972
359,0.8954
360,0.8958
361,0.8949
362,0.8935
363,0.8924
364,0.893
365,0.8952
366,0.8965
367,0.8959
368,0.8958
369,0.8971
370,0.8973
371,0.8974
372,0.8988
373,0.8991
374,0.8998
375,0.9018
376,0.9028
377,0.9045
378,0.9051
379,0.9049
380,0.9051
381,0.9058
382,0.9045
383,0.9032
384,0.9031
385,0.9029
386,0.9018
387,0.9022
388,0.9013
389,0.8999
390,0.8984
391,0.899
392,0.8994
393,0.9003
394,0.9001
395,0.8995
396,0.8991
397,0.8996
398,0.8992
399,0.8983
400,0.899
401,0.8976
402,0.8969
403,0.8973
404,0.8995
405,0.9017
406,0.9022
407,0.9052
409,0.9051
410,0.9069
411,0.9088
412,0.9114
413,0.911
414,0.9105
415,0.9091
416,0.9086
417,0.9076
418,0.9068
419,0.9048
420,0.9026
421,0.9017
422,0.8996
423,0.9015
424,0.9024
425,0.9039
426,0.9038
427,0.9032
428,0.9059
429,0.907
430,0.9092
431,0.9103
432,0.9113
433,0.9107
434,0.9106
435,0.9107
436,0.9092
437,0.9086
438,0.9079
439,0.906
440,0.9049
441,0.9039
442,0.9025
443,0.9034
444,0.9026
445,0.9019
446,0.9025
447,0.9028
448,0.9044
449,0.9054
450,0.907
451,0.908
452,0.9088
453,0.9091
454,0.9097
455,0.9099
456,0.9097
457,0.9096
458,0.9083
459,0.9068
460,0.9067
461,0.9065
462,0.9054
463,0.9059
464,0.9046
465,0.9057
466,0.9054
467,0.9052
468,0.9054
469,0.9064
470,0.9076
471,0.9078
472,0.9088
473,0.9097
474,0.9096
475,0.9103
476,0.9105
477,0.9098
478,0.9098
479,0.9095
480,0.9094
481,0.9102
482,0.9094
483,0.9092
484,0.9098
485,0.9104
486,0.9098
487,0.9098
488,0.91
489,0.9099
490,0.9085
491,0.9084
492,0.9076
493,0.9079
494,0.9081
495,0.9084
496,0.9068
497,0.9057
498,0.9057
499,0.9054
500,0.9056
501,0.9063
502,0.9058
503,0.9071
504,0.9077
505,0.9071
506,0.907
507,0.9068
508,0.9071
509,0.9064
510,0.9053
511,0.9059
512,0.9064
513,0.9081
514,0.9079
515,0.9075
516,0.9073
517,0.9077
518,0.9084
519,0.9083
520,0.908
521,0.908
522,0.9071
523,0.9061
524,0.9044
525,0.904
526,0.9042
527,0.9041
528,0.9034
529,0.903
530,0.9029
531,0.9038
532,0.9049
533,0.9046
534,0.9045
535,0.906
536,0.9071
537,0.9071
538,0.9074
539,0.9068
540,0.9062
541,0.9065
542,0.9056
543,0.905
544,0.9041
545,0.9044
546,0.9045
547,0.9031
548,0.9031
549,0.903
551,0.9033
552,0.9041
553,0.9041
554,0.9041
555,0.9055
556,0.906
557,0.9068
558,0.9054
559,0.9063
560,0.9057
561,0.9055
562,0.9055
563,0.9063
564,0.9052
565,0.9047
566,0.9053
567,0.9042
568,0.9033
569,0.9041
570,0.9044
571,0.9051
572,0.9057
573,0.905
574,0.9047
575,0.9052
576,0.9037
577,0.9041
578,0.9031
579,0.9034
580,0.9034
581,0.9037
582,0.9034
583,0.9041
584,0.9019
585,0.902
586,0.9019
587,0.9013
588,0.9024
589,0.9031
590,0.9038
591,0.9044
592,0.9041
593,0.9042
594,0.9041
595,0.9041
596,0.9032
597,0.9053
598,0.9052
599,0.9048
600,0.9047
601,0.9042
602,0.9029
603,0.9025
604,0.901
605,0.9005
606,0.9009
607,0.9008
608,0.9017
609,0.9005
610,0.9012
611,0.9014
612,0.9009
613,0.901
614,0.8997
615,0.8999
616,0.9013
617,0.9028
618,0.9018
619,0.9014
620,0.9014
621,0.9021
622,0.9028
623,0.9029
624,0.9029
625,0.9029
626,0.9047
627,0.9044
628,0.906
629,0.9055
630,0.9053
631,0.905
632,0.9049
633,0.9038
634,0.9021
635,0.9025
636,0.9012
637,0.9002
638,0.8989
639,0.8974
640,0.897
641,0.8967
642,0.897
643,0.8959
644,0.8954
645,0.8949
646,0.8955
647,0.895
648,0.896
649,0.8946
650,0.8956
651,0.8966
652,0.8962
653,0.895
654,0.8947
655,0.8953
656,0.8945
657,0.8953
658,0.8965
659,0.8965
660,0.8969
661,0.8976
662,0.8969
663,0.8956
664,0.8945
665,0.8933
666,0.8927
667,0.8918
668,0.892
669,0.892
670,0.8939
671,0.8935
672,0.8931
673,0.8925
674,0.8932
675,0.8918
676,0.8923
677,0.8935
678,0.8948
679,0.893
680,0.8918
681,0.8916
682,0.8892
683,0.8888
684,0.8888
685,0.8893
686,0.8895
687,0.8889
688,0.8895
689,0.8903
690,0.8905
691,0.8903
692,0.8894
693,0.8885
694,0.8884
695,0.8865
696,0.8868
697,0.8854
698,0.883
699,0.8817
700,0.8814
701,0.8811
702,0.8815
703,0.8836
704,0.8866
705,0.887
706,0.8873
707,0.8873
708,0.8874
709,0.8883
710,0.8893
711,0.8887
712,0.8866
713,0.8861
714,0.8852
715,0.8836
716,0.8828
717,0.8815
718,0.8814
719,0.8815
720,0.8809
721,0.8792
722,0.88
723,0.8798
724,0.8791
725,0.8755
726,0.8747
727,0.873
728,0.871
729,0.8687
730,0.8685
731,0.8662
732,0.8663
733,0.8653
734,0.8641
735,0.8637
736,0.8635
737,0.8637
738,0.8644
739,0.8631
740,0.8639
741,0.8642
742,0.8647
743,0.8654
744,0.8661
745,0.8669
746,0.8679
747,0.8689
748,0.8701
749,0.8714
750,0.8728
