wavelength_nm,efficiency
250,0.564735
251,0.575929
252,0.587124
253,0.598318
254,0.603611
255,0.602824
256,0.619103
257,0.623093
258,0.627494
259,0.618527
260,0.636443
261,0.638242
262,0.643196
263,0.644924
264,0.655366
265,0.664482
266,0.654506
267,0.662078
268,0.655424
269,0.673074
270,0.670145
271,0.687457
272,0.680822
273,0.697849
274,0.691913
275,0.690878
276,0.700070
277,0.701813
278,0.708874
279,0.725745
280,0.716239
281,0.718061
282,0.732679
283,0.729779
284,0.731726
285,0.735965
286,0.739149
287,0.747256
288,0.739067
289,0.756183
290,0.758566
291,0.760378
292,0.765619
293,0.766572
294,0.766678
295,0.762055
296,0.766015
297,0.769068
298,0.772649
299,0.775353
300,0.777401
301,0.779449
302,0.787938
303,0.789521
304,0.792634
305,0.796349
306,0.790097
307,0.801393
308,0.796099
309,0.799575
310,0.806394
311,0.795140
312,0.809360
313,0.810905
314,0.815692
315,0.811057
316,0.809153
317,0.803435
318,0.815215
319,0.823297
320,0.819881
321,0.835307
322,0.842784
323,0.822655
324,0.836837
325,0.828109
326,0.834174
327,0.837114
328,0.832573
329,0.834125
330,0.832055
331,0.825420
332,0.831174
333,0.834617
334,0.845236
335,0.842292
336,0.846482
337,0.837394
338,0.841593
339,0.858129
340,0.847510
341,0.848135
342,0.845681
343,0.843150
344,0.840963
345,0.875446
346,0.856928
347,0.846537
348,0.856651
349,0.870351
350,0.860753
351,0.854731
352,0.838055
353,0.849787
354,0.847926
355,0.864477
356,0.871706
357,0.864900
358,0.850349
359,0.849059
360,0.856509
361,0.871867
362,0.868259
363,0.865369
364,0.850979
365,0.876941
366,0.874048
367,0.864842
368,0.852999
369,0.863105
370,0.877427
371,0.858524
372,0.872280
373,0.870646
374,0.871975
375,0.861976
376,0.872614
377,0.878806
378,0.881181
379,0.856156
380,0.868314
381,0.862887
382,0.891254
383,0.869229
384,0.870302
385,0.866439
386,0.862577
387,0.862320
388,0.876666
389,0.892667
390,0.880340
391,0.869048
392,0.893832
393,0.879274
394,0.872095
395,0.862863
396,0.868617
397,0.872741
398,0.883799
399,0.867009
400,0.876757
401,0.858590
402,0.870120
403,0.868946
404,0.881114
405,0.873845
406,0.877461
407,0.870317
408,0.875172
409,0.880028
410,0.863701
411,0.871075
412,0.868409
413,0.886276
414,0.878372
415,0.876948
416,0.888464
417,0.872446
418,0.880982
419,0.870758
420,0.881445
421,0.892131
422,0.858032
423,0.852171
424,0.862528
425,0.866448
426,0.870184
427,0.859840
428,0.857070
429,0.859641
430,0.861597
431,0.882170
432,0.867782
433,0.871285
434,0.859976
435,0.879753
436,0.868502
437,0.872817
438,0.865336
439,0.875726
440,0.864135
441,0.874640
442,0.862464
443,0.871588
444,0.875249
445,0.861470
446,0.863968
447,0.859941
448,0.863252
449,0.865912
450,0.868871
451,0.872654
452,0.854580
453,0.866708
454,0.874538
455,0.866057
456,0.871351
457,0.868221
458,0.857000
459,0.864838
460,0.853526
461,0.862587
462,0.854321
463,0.858268
464,0.846401
465,0.863606
466,0.856810
467,0.867520
468,0.855176
469,0.853678
470,0.854304
471,0.852402
472,0.859854
473,0.857897
474,0.863823
475,0.861727
476,0.861332
477,0.849634
478,0.861889
479,0.859116
480,0.857166
481,0.858775
482,0.853165
483,0.848129
484,0.847845
485,0.847846
486,0.853749
487,0.847864
488,0.853434
489,0.852005
490,0.856386
491,0.836645
492,0.847946
493,0.843858
494,0.841538
495,0.846976
496,0.856671
497,0.847897
498,0.846833
499,0.852384
500,0.847415
501,0.843256
502,0.855265
503,0.840252
504,0.851294
505,0.840288
506,0.849021
507,0.846415
508,0.836817
509,0.839430
510,0.839035
511,0.844364
512,0.837549
513,0.840133
514,0.847757
515,0.844692
516,0.829065
517,0.844072
518,0.846015
519,0.844547
520,0.837547
521,0.837669
522,0.842390
523,0.837122
524,0.832179
525,0.840502
526,0.836058
527,0.831660
528,0.831919
529,0.829475
530,0.838792
531,0.839210
532,0.829345
533,0.839386
534,0.838478
535,0.834806
536,0.838660
537,0.832191
538,0.834292
539,0.837532
540,0.821908
541,0.834925
542,0.836409
543,0.836514
544,0.839788
545,0.832388
546,0.816485
547,0.834304
548,0.824236
549,0.830092
550,0.830089
551,0.830085
552,0.833730
553,0.826163
554,0.825948
555,0.824795
556,0.831258
557,0.834269
558,0.826362
559,0.834036
560,0.839208
561,0.815963
562,0.827143
563,0.819084
564,0.812783
565,0.823673
566,0.823184
567,0.825366
568,0.815378
569,0.822365
570,0.826517
571,0.832592
572,0.825538
573,0.829009
574,0.825644
575,0.823883
576,0.817279
577,0.829083
578,0.827535
579,0.822491
580,0.806721
581,0.822548
582,0.817275
583,0.818087
584,0.815948
585,0.817433
586,0.831278
587,0.821003
588,0.808747
589,0.815713
590,0.814174
591,0.817267
592,0.818062
593,0.814292
594,0.823181
595,0.813764
596,0.820148
597,0.815108
598,0.821841
599,0.807966
600,0.820356
601,0.813981
602,0.809490
603,0.814556
604,0.818448
605,0.818003
606,0.805355
607,0.810604
608,0.815573
609,0.810833
610,0.802124
611,0.815133
612,0.796178
613,0.812987
614,0.819944
615,0.813575
616,0.815175
617,0.801950
618,0.802419
619,0.801882
620,0.810046
621,0.815919
622,0.807807
623,0.806529
624,0.801172
625,0.789934
626,0.817290
627,0.799022
628,0.807927
629,0.805348
630,0.809417
631,0.801094
632,0.808277
633,0.797540
