wavelength_nm,efficiency
277.68187,0.0420538
278.54501,0.0322738
279.40814,0.0909535
279.40814,0.0713936
279.40814,0.0616137
279.40814,0.0518337
280.27127,0.1202934
280.27127,0.1007335
281.1344,0.1398533
281.1344,0.1300733
281.1344,0.0811736
281.99753,0.1594132
281.99753,0.1496333
282.86067,0.1691932
282.86067,0.1105134
285.45006,0.1779951
288.90259,0.193643
289.76572,0.203423
289.76572,0.1838631
290.62885,0.2132029
291.49199,0.2229829
292.35512,0.2327628
294.08138,0.2425428
295.80764,0.2523227
299.26017,0.2621027
300.1233,0.2718826
303.57583,0.2806846
307.89149,0.2865526
310.48089,0.2933985
312.20715,0.3031785
316.52281,0.3090465
321.7016,0.3129584
326.01726,0.3070905
330.33292,0.3080685
337.23798,0.3129584
341.55364,0.3178484
345.8693,0.3207824
351.91122,0.3198044
359.67941,0.3198044
364.8582,0.3246944
368.31073,0.3305623
373.48952,0.3246944
380.39457,0.3227384
385.57337,0.3276284
390.75216,0.3325183
392.47842,0.3403423
397.65721,0.3422983
400.24661,0.3481663
403.69914,0.3559902
409.74106,0.3540342
414.91985,0.3491443
420.09864,0.3530562
424.4143,0.3589242
427.0037,0.3657702
433.04562,0.3706601
440.81381,0.3696822
446.85573,0.3706601
452.89766,0.3667482
458.93958,0.3628362
463.25524,0.3569682
469.29716,0.3569682
477.92848,0.3579462
482.24414,0.3511002
488.28607,0.3481663
492.60173,0.3432763
498.64365,0.3403423
501.23305,0.3334963
506.41184,0.3276284
510.7275,0.3227384
513.31689,0.3158924
518.49568,0.3110024
522.81134,0.3070905
527.127,0.3022005
532.3058,0.2953545
537.48459,0.2914425
546.11591,0.2933985
551.2947,0.2875306
557.33662,0.2826406
563.37855,0.2787286
567.6942,0.2738386
574.59926,0.2699267
578.05179,0.2640587
581.50432,0.2581907
588.40937,0.2484108
593.58816,0.2435208
598.76695,0.2396088
603.08261,0.2347188
609.12454,0.2317848
615.16646,0.2298289
620.34525,0.2249389
624.66091,0.2200489
626.38718,0.2122249
628.11344,0.202445
633.29223,0.197555
635.88163,0.190709
641.06042,0.1858191
645.37608,0.1799511
648.82861,0.1740831
654.0074,0.1691932
660.04932,0.1652812
663.50185,0.1594132
666.95438,0.1525672
672.13317,0.1466993
677.31196,0.1427873
682.49075,0.1378973
687.66954,0.1320293
692.84834,0.1271394
698.89026,0.1232274
702.34279,0.1173594
708.38471,0.1144254
715.28977,0.1105134
722.19482,0.1066015
728.23674,0.1026895
735.1418,0.0987775
743.77312,0.0987775
752.40444,0.0958435
757.58323,0.0899756
766.21455,0.0919315
771.39334,0.0860636
777.43527,0.0831296
784.34032,0.0821516
790.38224,0.0772616
799.01356,0.0713936
804.19236,0.0674817
812.82367,0.0635697
818.8656,0.0596577
827.49692,0.0596577
832.67571,0.0547677
837.8545,0.0508557
843.89642,0.0479218
852.52774,0.0459658
859.4328,0.0440098
868.06412,0.0381418
876.69544,0.0361858
885.32676,0.0332518
893.95808,0.0293399
902.5894,0.0273839
