source_file,charge_factor_raw,charge_factor_mean_one,unit,description
near\59v-17.5ns-15.0v\C2--C1--00018.trc,1.2310243052975698,1.1647111042653413,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00022.trc,1.0217964027622826,0.9667539556076717,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00023.trc,0.992283197886379,0.9388305772523485,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00036.trc,1.0958846913171105,1.0368512331386495,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00037.trc,0.9109528727529957,0.8618813794268317,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00039.trc,1.1135762471120074,1.053589774690894,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00048.trc,1.1001607850430937,1.0408969809147894,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00051.trc,1.3988521065928035,1.3234983052424543,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00056.trc,1.2724490670581654,1.2039043840458323,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00069.trc,1.052357271619878,0.9956685620547264,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00071.trc,0.8799473795146155,0.8325460997637417,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00095.trc,0.8684062957702446,0.8216267147162826,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00101.trc,1.3334532198051825,1.2616223460754892,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00128.trc,0.8413851311216766,0.7960611345884704,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00138.trc,1.4492396553423894,1.3711715618083902,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00141.trc,0.9473277066506258,0.896296762432723,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00144.trc,1.1808530000521245,1.1172424425310543,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00152.trc,1.209914924399201,1.1447388500777576,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00162.trc,1.0154145435020157,0.9607158763314915,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00169.trc,1.1561608870430935,1.0938804519630116,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00170.trc,0.5663972735571419,0.5358864086588069,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00172.trc,0.9516718901783117,0.9004069321279016,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00173.trc,1.0500742361519655,0.9935085098531036,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00175.trc,1.041272056066751,0.9851804883486749,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00184.trc,0.8306642442572081,0.7859177637997024,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00193.trc,0.9503847624344015,0.8991891397825442,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00198.trc,0.9848390971511212,0.9317874776560909,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00200.trc,1.320198546137039,1.2490816793004587,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00202.trc,0.9936568097094859,0.9401301949255642,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00205.trc,1.4448619175066846,1.367029645319117,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00206.trc,0.9582881738354155,0.9066668077544314,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00217.trc,0.9265630910355582,0.8766507016046838,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00263.trc,0.9291736497816191,0.879120633958407,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00264.trc,0.8660773972140873,0.8194232699935495,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00265.trc,1.4139009167029821,1.3377364613583635,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00270.trc,0.9255575648544114,0.8756993414213217,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00274.trc,1.0883244685882392,1.0296982668445298,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00275.trc,1.3805360338204604,1.306168888387989,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00284.trc,1.3782921214391541,1.304045851778347,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00298.trc,0.8227619165465269,0.7784411211415793,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00305.trc,0.8901627753189817,0.8422112094424127,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00312.trc,1.1334770422546132,1.0724185475969659,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00313.trc,1.081285624981975,1.023038593859908,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00321.trc,0.9248837019392795,0.8750617783637693,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00335.trc,1.0272602909921633,0.9719235134030951,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00351.trc,1.2576184114984954,1.1898726308630982,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00372.trc,1.2230999001277985,1.157213573423577,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00380.trc,1.1014215613661165,1.0420898413458144,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00399.trc,1.0684888306816733,1.010931141264195,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00401.trc,1.0564350060308236,0.9995266357972471,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00402.trc,1.2666962267081725,1.1984614394931796,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00423.trc,1.2185631622995305,1.1529212220029061,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00424.trc,1.4533940318448526,1.3751021490623503,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00448.trc,1.367937430677881,1.294248950726931,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00449.trc,1.099945828407741,1.0406936036304797,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00454.trc,1.0453621090124448,0.9890502170472737,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00463.trc,0.8495264898729638,0.8037639320885895,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00465.trc,1.4554555805694405,1.3770526456375833,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00470.trc,1.0707422419918768,1.0130631651114714,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00472.trc,1.072985084910251,1.0151851898683437,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00490.trc,0.9511005684029987,0.8998663864920827,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00498.trc,0.9662044252309033,0.9141566240519674,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00534.trc,0.8093952895700227,0.7657945317939028,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00535.trc,1.416203963525991,1.3399154469371684,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00547.trc,1.0079208055304112,0.9536258133730084,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00560.trc,0.8759918180828299,0.828803617748254,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00584.trc,0.930512037187682,0.8803869246944568,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00587.trc,1.2901045412023704,1.2206087876049923,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00607.trc,1.0477910876804375,0.9913483507351791,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00609.trc,0.65472909710445,0.619459945999069,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00632.trc,0.80679039530012,0.7633299587805702,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00634.trc,1.0491853068845685,0.9926674657045939,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00636.trc,1.1427943814728743,1.0812339774816686,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00638.trc,1.1640505015710931,1.101345066276141,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00639.trc,1.1247055932902332,1.0641196017797745,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00653.trc,0.999582174640575,0.9457363704513965,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00656.trc,1.495088821208206,1.4145509105145164,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00660.trc,1.0491148295732067,0.9926007848870109,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00664.trc,0.9635450740369902,0.9116405276171833,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00668.trc,1.0740241423894432,1.0161682750753356,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00684.trc,1.4045906987538428,1.3289277691320376,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00700.trc,0.9576191316269214,0.906033805720189,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00701.trc,0.9505252907484769,0.8993220980735893,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00713.trc,0.9076636451091151,0.858769336923042,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00715.trc,1.1039440114787105,1.044476411329405,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00731.trc,0.822328582494832,0.7780311300636669,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00737.trc,1.300840237558632,1.2307661701232329,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00754.trc,1.31960556145446,1.2485206377016154,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00755.trc,1.3511184083686198,1.2783359407545178,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00758.trc,0.8831710963201506,0.8355961603874479,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00760.trc,0.6950283228474805,0.6575883204870588,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
