# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
300.000000,2.3459628106e+08
300.300150,2.5089198584e+08
300.600600,2.7459049281e+08
300.901351,3.1615242037e+08
301.202403,3.7815716557e+08
301.503756,4.2092721933e+08
301.805411,4.3863862665e+08
302.107367,4.5806106165e+08
302.409626,5.0973361400e+08
302.712187,5.8154343631e+08
303.015050,6.6755965787e+08
303.318217,7.3392159356e+08
303.621687,7.6944114784e+08
303.925460,7.7524964358e+08
304.229538,8.1895522162e+08
304.533919,8.9305885908e+08
304.838606,9.8660200723e+08
305.143597,1.1056471946e+09
305.448893,1.1778036742e+09
305.754495,1.1838957429e+09
306.060402,1.2284271064e+09
306.366615,1.2456203027e+09
306.673135,1.3428288365e+09
306.979962,1.4554696299e+09
307.287095,1.5959872793e+09
307.594536,1.6894673468e+09
307.902285,1.7070320271e+09
308.210341,1.7200605366e+09
308.518705,1.8396459017e+09
308.827378,1.8223024119e+09
309.136360,1.8692430931e+09
309.445651,2.0121186588e+09
309.755252,2.1732216056e+09
310.065162,2.1828229639e+09
310.375382,2.2055978804e+09
310.685913,2.3462919887e+09
310.996754,2.4289977943e+09
311.307906,2.4368338885e+09
311.619370,2.4637371529e+09
311.931145,2.5955634121e+09
312.243232,2.6770577636e+09
312.555632,2.7970194947e+09
312.868344,2.8569691251e+09
313.181368,2.8828447100e+09
313.494706,2.7855960524e+09
313.808358,2.8743897884e+09
314.122323,3.0133385888e+09
314.436603,4.7909716651e+09
314.751197,5.1767543670e+09
315.066105,4.9932594230e+09
315.381329,4.2364263294e+09
315.696868,3.0971630801e+09
316.012723,3.2377499505e+09
316.328894,3.3666172887e+09
316.645381,3.6759509077e+09
316.962184,3.8422824123e+09
317.279305,3.9297571363e+09
317.596743,3.4982538325e+09
317.914499,3.5161633417e+09
318.232572,3.5790512696e+09
318.550964,3.7681741434e+09
318.869674,3.8630462256e+09
319.188703,3.9165424400e+09
319.508052,3.6960229263e+09
319.827720,3.7935514654e+09
320.147707,3.7420595978e+09
320.468015,3.9994976332e+09
320.788643,4.1023340578e+09
321.109593,6.6358365073e+09
321.430863,6.1186012151e+09
321.752454,5.3396502814e+09
322.074368,4.9161395460e+09
322.396603,5.0935895815e+09
322.719161,3.8702801005e+09
323.042042,4.2574777650e+09
323.365245,4.2119972762e+09
323.688772,4.5954088049e+09
324.012623,4.5205918389e+09
324.336798,4.3283235889e+09
324.661297,4.3183615338e+09
324.986120,4.1020226282e+09
325.311269,4.2752470510e+09
325.636743,4.3278573477e+09
325.962543,5.0731996337e+09
326.288668,5.7875906732e+09
326.615120,5.4723772873e+09
326.941898,5.2625902043e+09
327.269004,5.3998528757e+09
327.596437,5.2324625603e+09
327.924197,4.3349207219e+09
328.252285,5.5657199812e+09
328.580702,4.7867958703e+09
328.909447,5.6868769518e+09
329.238521,4.9786463584e+09
329.567924,6.2700558133e+09
329.897657,6.6012218921e+09
330.227719,6.7599284994e+09
330.558112,5.1024758411e+09
330.888836,4.9160193041e+09
331.219890,5.8113793470e+09
331.551275,5.3394259234e+09
331.882993,5.0197651553e+09
332.215042,4.6877568590e+09
332.547423,5.0774959678e+09
332.880136,5.2760599076e+09
333.213183,5.1735533396e+09
333.546563,5.0197432764e+09
333.880276,4.5459745385e+09
334.214324,4.6313909257e+09
334.548705,4.7044819185e+09
334.883421,4.7019552058e+09
335.218472,4.7376611684e+09
335.553858,4.7619749122e+09
335.889580,4.6823095380e+09
336.225637,4.5680480174e+09
336.562031,4.6592831814e+09
336.898762,5.8555686822e+09
337.235829,6.8869832355e+09
337.573233,6.9885194416e+09
337.910975,6.4668464727e+09
338.249055,5.7968367585e+09
338.587474,5.5218951548e+09
338.926231,4.7469764387e+09
339.265326,4.7201604957e+09
339.604761,4.7455094744e+09
339.944536,4.8116926941e+09
340.284650,4.7815839617e+09
340.625105,4.7461730231e+09
340.965901,4.7247695616e+09
341.307037,4.7272960157e+09
341.648515,4.7053043543e+09
341.990334,5.0332922585e+09
342.332496,5.4955032536e+09
342.674999,4.7809339742e+09
343.017846,5.0242060496e+09
343.361035,4.9591236006e+09
343.704568,5.7373656336e+09
344.048445,4.6126692958e+09
344.392665,4.5367441389e+09
344.737230,4.6360998111e+09
345.082140,5.4232952870e+09
345.427394,6.4822406438e+09
345.772995,5.9899505369e+09
346.118940,5.4698206237e+09
346.465233,4.9695826098e+09
346.811871,4.7539640224e+09
347.158856,4.8036054293e+09
347.506189,4.6795646061e+09
347.853869,5.4597570349e+09
348.201897,8.2739790151e+09
348.550273,7.1406793478e+09
348.898997,6.8868979056e+09
349.248071,5.6604566823e+09
349.597494,5.4903758530e+09
349.947266,5.2349037422e+09
350.297388,5.2222782765e+09
350.647861,5.2178847490e+09
350.998684,5.0901653288e+09
351.349858,4.9936302264e+09
351.701384,5.0668331981e+09
352.053261,4.9370932595e+09
352.405491,4.6967645001e+09
352.758072,4.6739549898e+09
353.111007,4.8365988944e+09
353.464295,4.8623064275e+09
353.817936,4.8760790210e+09
354.171931,5.3818292290e+09
354.526280,6.2150294519e+09
354.880983,6.5637211410e+09
355.236042,5.6983770826e+09
355.591455,7.0455464203e+09
355.947225,5.9328256736e+09
356.303350,6.2361246866e+09
356.659832,6.5462169529e+09
357.016670,5.3727753738e+09
357.373865,4.6946036940e+09
357.731418,4.8886757451e+09
358.089328,4.6258654689e+09
358.447596,4.7604669746e+09
358.806223,4.5864009926e+09
359.165209,4.7568128148e+09
359.524554,4.8151228710e+09
359.884258,4.8819628299e+09
360.244322,4.8651471557e+09
360.604747,4.7474900110e+09
360.965532,4.6679935332e+09
361.326678,4.7462099014e+09
361.688186,6.1908119359e+09
362.050055,6.1848889028e+09
362.412286,5.5602809500e+09
362.774879,5.4010242880e+09
363.137836,5.7371280008e+09
363.501155,5.9967444354e+09
363.864838,5.9590778028e+09
364.228885,5.9187176999e+09
364.593296,5.3178848738e+09
364.958072,5.0769389209e+09
365.323212,4.9230240922e+09
365.688718,4.9818593271e+09
366.054590,5.0406493015e+09
366.420827,5.0956828357e+09
366.787432,5.0539300998e+09
367.154402,5.1281261400e+09
367.521740,5.0712231657e+09
367.889446,5.0776182698e+09
368.257519,4.9103266746e+09
368.625961,4.9173797514e+09
368.994772,4.9282113448e+09
369.363951,5.0228150696e+09
369.733500,5.3137200627e+09
370.103418,6.4691380133e+09
370.473707,5.7169503847e+09
370.844366,5.3408898080e+09
