# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=Y; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
300.000000,2.7836084559e+08
300.300150,2.9278892021e+08
300.600600,3.3562318558e+08
300.901351,3.8857309552e+08
301.202403,4.9524026713e+08
301.503756,5.5870922336e+08
301.805411,5.6460137977e+08
302.107367,5.6629934418e+08
302.409626,6.9079480501e+08
302.712187,8.2327924952e+08
303.015050,1.0337172032e+09
303.318217,1.1849768235e+09
303.621687,1.2434150463e+09
303.925460,1.1880463334e+09
304.229538,1.2600770359e+09
304.533919,1.4638455237e+09
304.838606,1.5993701618e+09
305.143597,1.9509569777e+09
305.448893,2.0528598384e+09
305.754495,1.9708891408e+09
306.060402,2.0153132100e+09
306.366615,2.1533836327e+09
306.673135,2.3217280371e+09
306.979962,2.6796419852e+09
307.287095,3.0520752023e+09
307.594536,3.2498860840e+09
307.902285,3.3297220929e+09
308.210341,3.3581113870e+09
308.518705,3.7639436442e+09
308.827378,3.5812810218e+09
309.136360,3.4899203817e+09
309.445651,3.6022552085e+09
309.755252,3.9494831369e+09
310.065162,3.8650561396e+09
310.375382,4.4035967791e+09
310.685913,5.3163172522e+09
310.996754,5.9282759742e+09
311.307906,5.9586978074e+09
311.619370,5.8466876159e+09
311.931145,5.7681149171e+09
312.243232,5.8883514037e+09
312.555632,6.4500514134e+09
312.868344,6.6687167550e+09
313.181368,6.7767373014e+09
313.494706,6.4808970748e+09
313.808358,7.0781077976e+09
314.122323,7.5096815080e+09
314.436603,8.5789418002e+09
314.751197,9.5366018604e+09
315.066105,9.9659993984e+09
315.381329,9.1215840107e+09
315.696868,7.0504633301e+09
316.012723,6.6945572914e+09
316.328894,7.4651709512e+09
316.645381,8.6490316042e+09
316.962184,9.5421819651e+09
317.279305,1.0652060847e+10
317.596743,9.6130500012e+09
317.914499,8.8517325176e+09
318.232572,8.2798958602e+09
318.550964,9.2960088774e+09
318.869674,1.0202201402e+10
319.188703,1.0184071550e+10
319.508052,9.1653395081e+09
319.827720,1.0121783639e+10
320.147707,1.0382360012e+10
320.468015,1.2025759395e+10
320.788643,1.2269138296e+10
321.109593,1.3437852529e+10
321.430863,1.2255727001e+10
321.752454,1.2260738680e+10
322.074368,1.1888289400e+10
322.396603,1.1820892001e+10
322.719161,9.5791210535e+09
323.042042,9.9413205249e+09
323.365245,1.0889942011e+10
323.688772,1.1531546706e+10
324.012623,1.2292227094e+10
324.336798,1.2479292324e+10
324.661297,1.2582736333e+10
324.986120,1.1361957481e+10
325.311269,1.2438766014e+10
325.636743,1.3791317604e+10
325.962543,1.5604583185e+10
326.288668,1.6504794543e+10
326.615120,1.5747185968e+10
326.941898,1.6043976610e+10
327.269004,1.5152177408e+10
327.596437,1.5511925118e+10
327.924197,1.3352721189e+10
328.252285,1.4655317699e+10
328.580702,1.4034870051e+10
328.909447,1.5310570249e+10
329.238521,1.6402424454e+10
329.567924,1.8232256611e+10
329.897657,1.8366656372e+10
330.227719,1.7988342143e+10
330.558112,1.4907929716e+10
330.888836,1.4531274392e+10
331.219890,1.5641690412e+10
331.551275,1.4843062991e+10
331.882993,1.5081681129e+10
332.215042,1.4858857987e+10
332.547423,1.5290478853e+10
332.880136,1.5296473677e+10
333.213183,1.5263974512e+10
333.546563,1.4297555544e+10
333.880276,1.3613579126e+10
334.214324,1.4388763275e+10
334.548705,1.5213041890e+10
334.883421,1.4827315233e+10
335.218472,1.5183840322e+10
335.553858,1.5513771645e+10
335.889580,1.3874528304e+10
336.225637,1.1745981965e+10
336.562031,1.3974633067e+10
336.898762,1.3743116022e+10
337.235829,1.4601844780e+10
337.573233,1.6190489101e+10
337.910975,1.6401105578e+10
338.249055,1.5203209375e+10
338.587474,1.5501056194e+10
338.926231,1.4716766181e+10
339.265326,1.4178083594e+10
339.604761,1.4684514344e+10
339.944536,1.6023833996e+10
340.284650,1.5895937699e+10
340.625105,1.4961868930e+10
340.965901,1.4311070216e+10
341.307037,1.4197231883e+10
341.648515,1.3694095478e+10
341.990334,1.5490224242e+10
342.332496,1.5770466415e+10
342.674999,1.5015164254e+10
343.017846,1.6107589251e+10
343.361035,1.5214692599e+10
343.704568,1.5912473676e+10
344.048445,1.2383716068e+10
344.392665,1.0853955050e+10
344.737230,1.2438936398e+10
345.082140,1.4984861303e+10
345.427394,1.5826601600e+10
345.772995,1.5358056858e+10
346.118940,1.3848313044e+10
346.465233,1.4476166435e+10
346.811871,1.4138255983e+10
347.158856,1.5016622162e+10
347.506189,1.2873736779e+10
347.853869,1.3632959196e+10
348.201897,1.7712203607e+10
348.550273,1.6106047859e+10
348.898997,1.6340137756e+10
349.248071,1.4059764302e+10
349.597494,1.4524432993e+10
349.947266,1.5175191200e+10
350.297388,1.6353085526e+10
350.647861,1.5505907488e+10
350.998684,1.4950504515e+10
351.349858,1.3563875504e+10
351.701384,1.4331274376e+10
352.053261,1.4630498228e+10
352.405491,1.2660116179e+10
352.758072,1.2224003350e+10
353.111007,1.4825718438e+10
353.464295,1.5182056833e+10
