# Simplified 3D camera-support obstruction model in LACT local coordinates.
# z=-16 m is the mirror-support side; z=-8 m is the focal plane/camera side.
# type,name,x0_m,y0_m,z0_m,x1_m,y1_m,z1_m,radius_m,half_x_m,half_y_m,half_z_m
type,name,x0_m,y0_m,z0_m,x1_m,y1_m,z1_m,radius_m,half_x_m,half_y_m,half_z_m
cylinder,main_truss_px_py,3.85,3.05,-15.9,0.72,0.72,-8.25,0.060,0,0,0
cylinder,main_truss_px_ny,3.85,-3.05,-15.9,0.72,-0.72,-8.25,0.060,0,0,0
cylinder,main_truss_nx_py,-3.85,3.05,-15.9,-0.72,0.72,-8.25,0.060,0,0,0
cylinder,main_truss_nx_ny,-3.85,-3.05,-15.9,-0.72,-0.72,-8.25,0.060,0,0,0
cylinder,cross_truss_x_pos,3.45,0.00,-15.9,0.72,0.00,-8.25,0.040,0,0,0
cylinder,cross_truss_x_neg,-3.45,0.00,-15.9,-0.72,0.00,-8.25,0.040,0,0,0
cylinder,cross_truss_y_pos,0.00,3.45,-15.9,0.00,0.72,-8.25,0.040,0,0,0
cylinder,cross_truss_y_neg,0.00,-3.45,-15.9,0.00,-0.72,-8.25,0.040,0,0,0
cylinder,camera_frame_top,-0.85,0.85,-8.25,0.85,0.85,-8.25,0.045,0,0,0
cylinder,camera_frame_bottom,-0.85,-0.85,-8.25,0.85,-0.85,-8.25,0.045,0,0,0
cylinder,camera_frame_left,-0.85,-0.85,-8.25,-0.85,0.85,-8.25,0.045,0,0,0
cylinder,camera_frame_right,0.85,-0.85,-8.25,0.85,0.85,-8.25,0.045,0,0,0
