event_id,telescope_id,pixel_id,photon_count,pe,signal,time_mean_ns,time_rms_ns
117,0,631,38,38,38,-40.04667621,0.08049885149
117,0,632,73,73,73,-39.97719842,0.3229624496
117,0,635,45,45,45,-40.04159022,0.03707753577
117,0,636,5,5,5,-40.12926081,0
117,0,639,84,84,84,-40.06624491,0.05466190619
117,0,640,10,10,10,-40.16829431,0.01216959007
117,0,643,50,50,50,-40.10690184,0.06371063978
117,0,644,92,92,92,-39.94757006,0.3200775433
117,0,805,171,171,171,-39.62192435,0.4154719157
117,0,806,37,37,37,-38.92175714,0.1842827553
117,0,809,60,60,60,-39.4431119,0.5232190929
117,0,810,144,144,144,-38.97477718,0.442245734
117,0,811,5,5,5,-39.21981465,0
117,0,813,61,61,61,-39.35107577,0.3976214228
117,0,814,153,153,153,-39.11501698,0.4151552838
117,0,815,5,5,5,-39.25665658,0
117,0,817,85,85,85,-39.50444549,0.269136805
117,0,818,31,31,31,-40.01127236,0.1991635937
